Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,30708,9815,823,2884,461,743,94,59551,4650,109729
MENDOZA,54571,35,130,2303,244,7231,847,79105,1745,146211
PRES. QUIRINO AVE.,74152,763,122,3172,403,10020,1521,102419,2566,195138
ARANETA AVE.,79018,6,12,1918,614,2718,331,51378,856,136851
EDSA,210980,1006,2299,10852,3019,2655,50,189078,13,419952
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,107706,407,2690,3365,1011,8682,901,125970,30,250760
ROXAS BLVD.,82145,7860,3683,9689,990,2960,2091,92927,475,202820
TAFT AVE.,39415,8549,6764,4929,3058,943,5,51620,3836,119119
SSH,85574,358,161,3533,1144,8230,2645,91901,95,193641
SHAW BLVD.,52610,3017,1305,2810,43,1413,147,83482,9,144836
ORTIGAS AVE.,65431,27533,3695,2645,634,4224,534,83099,160,188765
MAGSAYSAY BLVD.,50465,7062,647,2722,704,4027,1021,91293,2021,159962
AURORA BLVD.,46695,8348,2325,3318,786,1966,66,67440,219,131163
QUEZON AVE.,127876,5196,4782,9900,1593,3932,94,145218,89,298680
COMMONWEALTH AVE.,177912,16454,4820,11093,3184,7075,190,191104,1513,413345
A. BONIFACIO,38870,3914,149,1798,1812,8749,882,50020,807,107071
RIZAL AVE.,25190,7971,14,1644,390,2069,17,49605,1575,88475
DEL PAN,34103,692,53,1614,97,5829,6685,63352,3900,116325
MARCOS HIGHWAY,111797,10251,552,3826,506,6946,673,131868,191,266610
MCARTHUR HIGHWAY,30890,6255,12,3198,414,2989,317,81624,310,126009
TOTAL,1526108,125492,35038,87213,21107,93401,19111,1882864,25060,3815394
