Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,24537,10487,2262,3040,1489,558,7,21742,2692,66814
MENDOZA,56353,94,579,3582,190,5016,746,20673,1411,88644
PRES. QUIRINO AVE.,65444,1301,353,5111,113,6248,1043,27239,1740,108952
ARANETA AVE.,38740,1351,19,3604,10,4610,445,30289,2151,81219
EDSA,251628,1940,6903,20871,13356,3027,6,86082,15,383828
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,133427,1378,6886,6552,908,12624,790,73169,10,235744
ROXAS BLVD.,129475,86,6366,16387,1782,992,2795,45199,405,203487
TAFT AVE.,37789,11974,10737,5644,1429,692,4,20338,459,91766
SSH,56104,39,384,4382,748,6807,2872,29545,28,100909
SHAW BLVD.,52128,5801,3499,3684,69,1250,155,36486,5,103077
ORTIGAS AVE.,79128,10674,8542,3946,1115,5515,638,64245,677,174480
MAGSAYSAY BLVD.,59811,6089,159,4776,756,2821,412,37237,1666,113727
AURORA BLVD.,37881,14975,8361,6047,70,2027,38,33970,94,103463
QUEZON AVE.,120080,6230,11712,12142,1397,4123,319,44462,67,204604
COMMONWEALTH AVE.,131521,12447,12547,15878,5608,5905,381,60040,589,244916
A. BONIFACIO,32136,2980,161,881,1408,8662,2095,14271,882,64076
RIZAL AVE.,37404,11440,42,3062,370,2618,4,32959,1574,89479
DEL PAN,32883,1738,153,2839,84,5416,8235,28426,2483,82257
MARCOS HIGHWAY,98705,13152,4006,6797,733,5351,369,49597,164,178214
MCARTHUR HIGHWAY,34663,8398,21,4189,2034,2936,516,39159,249,92165
TOTAL,1509837,122574,83692,137486,35709,87198,22470,795128,17361,2811455
