Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO, 27447, 3980, 12, 4844, 431, 924, 80, 45082, 1660, 84460
MENDOZA, 37472, 3384, 9, 3575, 68, 8186, 1897, 54136, 662, 109389
PRES. QUIRINO AVE., 30942, 94, 10, 2789, 56, 3397, 754, 33872, 266, 72382
ARANETA AVE., 58726, 0, 29, 2361, 1, 2200, 447, 36033, 488, 100265
EDSA, 199402, 1638, 2604, 19287, 5527, 2188, 45, 141564, 16, 372271
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA, 99316, 289, 2121, 4685, 340, 10535, 1281, 93681, 37, 212285
ROXAS BLVD., 95063, 9366, 1988, 11734, 1575, 3076, 1849, 81895, 2793, 209339
TAFT AVE., 43676, 8552, 4400, 5970, 1865, 1022, 7, 45146, 307, 114715
SSH, 96111, 187, 80, 5740, 367, 6664, 2093, 75867, 80, 187189
SHAW BLVD., 48612, 1127, 757, 7958, 325, 798, 101, 45517, 10, 105205
ORTIGAS AVE., 73145, 6866, 3619, 3176, 3177, 4571, 486, 90210, 449, 185699
MAGSAYSAY BLVD., 57031, 5043, 43, 7255, 391, 2138, 380, 66360, 1292, 139933
AURORA BLVD., 36367, 7424, 1458, 4200, 1005, 1922, 20, 48318, 98, 100812
QUEZON AVE., 120383, 2094, 2813, 13139, 1111, 4493, 287, 117718, 90, 262128
COMMONWEALTH AVE., 135153, 1740, 4879, 14663, 5879, 5914, 916, 133591, 22, 302316
A. BONIFACIO, 27772, 3247, 53, 1101, 550, 8334, 1162, 29066, 1222, 72507
RIZAL AVE., 33217, 6683, 28, 3494, 543, 2788, 0, 59406, 747, 106906
DEL PAN, 39187, 630, 38, 2391, 147, 6043, 6056, 44121, 3753, 120816
MARCOS HIGHWAY, 109691, 7682, 882, 7659, 480, 6687, 522, 99611, 252, 233464
MCARTHUR HIGHWAY, 30529, 3740, 24, 4834, 855, 2858, 194, 80178, 200, 123390
TOTAL, 1399242, 73766, 25805, 130855, 24693, 84738, 18477, 1421624, 18455, 3197673
