Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,24747,7269,727,1678,593,666,115,49406,2190,87391
MENDOZA,57755,11,81,3102,240,6706,1218,74200,1922,145235
PRES. QUIRINO AVE.,73167,727,64,3837,364,7606,1251,88445,2420,177881
ARANETA AVE.,72782,45,15,2418,248,3329,425,51266,1694,132222
EDSA,216934,1740,2504,15001,3824,2533,110,164673,23,407342
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,127042,617,64,2674,426,9654,702,89534,7982,238695
ROXAS BLVD.,79313,9888,2986,11812,1625,2255,1074,80690,541,190184
TAFT AVE.,47624,9487,6162,5278,2094,1350,510,55395,6421,134321
SSH,87963,224,84,4644,952,7480,2644,72806,107,176904
SHAW BLVD.,54622,1967,1323,4574,19,1314,62,63193,21,127095
ORTIGAS AVE.,63651,1598,181,3697,545,1289,248,75383,5,146597
MAGSAYSAY BLVD.,52884,7959,738,3608,723,2011,380,67689,1924,137916
AURORA BLVD.,45357,5677,1526,3601,629,2307,24,62531,276,121928
QUEZON AVE.,139663,3697,5235,12801,1305,5101,215,144297,170,312486
COMMONWEALTH AVE.,171866,14556,5853,13162,4088,6907,391,189594,1571,407988
A. BONIFACIO,44888,3638,95,1554,2209,9790,1341,42042,377,105934
RIZAL AVE.,31643,8454,39,2783,289,2468,7,67376,1615,114674
DEL PAN,32034,459,25,1586,62,5515,9212,52253,3469,104615
MARCOS HIGHWAY,110378,11185,636,4749,440,6604,673,108876,287,243636
MCARTHUR HIGHWAY,32007,6461,7,3664,432,2884,355,74997,382,121189
TOTAL,1566322,95659,28345,106223,21107,87769,20765,1674646,33397,3634233
