Location,Car,PUJ,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,26154,13454,690,703,13,16882,5466,63362
MENDOZA,51410,46,276,3462,265,21485,1247,78551
PRES. QUIRINO,43654,1998,23,4135,599,20981,257,71852
ARANETA AVE.,71317,7277,135,7075,2358,28669,651,117482
EDSA,278657,2723,12081,5556,2,26081,2712,364784
KATIPUNAN / C.P. GARCIA,154037,950,373,12411,1101,49727,5,218155
ROXAS BLVD.,133664,130,714,926,1137,38413,201,175185
TAFT AVE.,54047,13069,3575,543,6,17518,1090,89884
SSH,68844,0,795,5550,1633,23033,68,99923
SHAW BLVD.,63066,8734,53,1480,175,17807,5,85113
ORTIGAS AVE.,88628,15557,881,5162,616,41958,623,153425
MAGSAYSAY BLVD.,59550,5677,638,3125,491,24426,872,94779
AURORA BLVD.,57070,14942,67,2358,37,31201,310,96145
QUEZON AVE.,140311,9056,1201,4081,163,31720,579,187111
COMMONWEALTH AVE.,181266,16590,5688,6837,271,60262,977,272255
A. BONIFACIO,28739,4888,1332,6554,321,32412,798,58470
RIZAL AVE.,29734,13420,428,2168,7,28538,2000,76295
DEL PAN,31211,2356,582,4989,8290,20101,2932,70012
MARCOS HWY.,95837,15402,129,5431,439,36259,129,153626
MCARTHUR HWY.,31034,8532,2168,2732,288,35032,293,80879
