Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,21366,13134,2172,4069,545,584,3,19551,3253,64677
MENDOZA,49430,56,519,5358,213,5102,731,21983,987,84379
PRES. QUIRINO AVE.,59647,1574,454,6852,99,5958,981,27686,1867,105118
ARANETA AVE.,40306,1945,14,4207,6,4163,607,26107,2675,80330
EDSA,247527,2369,7229,20022,12283,8830,2,69438,28,367728
KATIPUNAN / C.P. GARCIA,133171,923,8424,7293,221,10121,680,57881,19,218751
ROXAS BLVD.,120524,42,7626,16660,2103,747,1111,42191,116,191120
TAFT AVE.,36558,12152,13236,5643,3749,640,10,18028,570,90586
SSH,65381,353,684,6650,892,5182,2376,21797,62,103375
SHAW BLVD.,55632,6450,3496,4029,107,1054,126,30724,6,101618
ORTIGAS AVE.,71102,12054,9344,3723,877,5029,681,50769,376,153955
MAGSAYSAY BLVD.,56261,5952,59,6265,722,2859,336,28878,1241,102573
AURORA BLVD.,41620,14707,6701,5245,57,3674,712,25614,314,98634
QUEZON AVE.,113905,6868,12791,15840,1217,3664,244,40759,47,195335
COMMONWEALTH AVE.,139951,15687,13165,14400,5475,7872,518,74492,1210,272770
A. BONIFACIO,28690,3695,222,908,1494,9278,3915,11938,650,81740
RIZAL AVE.,32905,12546,83,2685,492,2012,3,29449,1565,81740
DEL PAN,35955,1783,186,3538,73,5686,7886,23167,2011,80285
MARCOS HIGHWAY,90287,14261,4532,5165,133,6534,412,42019,169,162562
MCARTHUR HIGHWAY,29446,8752,25,4073,1889,3208,506,34852,206,82957
TOTAL,1469664,135303,90980,142625,32647,91297,21840,697323,17372,2699051
