Location,Car,PUJ,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,23673,17956,259,816,382,15063,3682,61831
MENDOZA,61144,104,217,4374,398,20199,633,87069
PRES. QUIRINO,88806,158,180,7130,2398,25887,98,124657
ARANETA AVE.,68009,1473,18,4291,796,21649,1124,97360
EDSA (BUENDIA AVE.),284460,4864,14970,4417,1,51696,9,360417
KATIPUNAN / C.P. GARCIA,127594,812,194,10508,914,38401,6,178429
ROXAS BLVD.,135948,90,751,391,0,31734,49,168963
TAFT AVE.,50897,14930,1904,404,1,14935,392,83463
SSH,97801,7085,6065,9484,807,22366,2,143610
SHAW BLVD.,57922,10756,50,1133,67,18115,14,88057
ORTIGAS AVE.,66079,18091,1003,4252,352,32979,521,123277
MAGSAYSAY BLVD.,55977,15292,429,2543,313,23155,1044,98753
AURORA BLVD.,60873,16602,85,2290,27,22420,257,102554
QUEZON AVE.,140290,7163,1557,4061,570,29754,63,183458
COMMONWEALTH AVE.,158199,16508,5758,5356,217,46429,634,233101
A. BONIFACIO,51859,6299,1834,9230,3939,15644,1549,90354
RIZAL AVE.,25464,12075,304,1787,4,17749,1568,58951
DEL PAN,21326,1902,48,4974,3856,11737,1822,45665
MARCOS HWY.,109239,20718,166,6524,533,31650,153,168983
MCARTHUR HWY.,35945,9432,2268,3681,402,24946,270,76944
TOTAL,1721505,182310,38060,87646,15977,516508,13890,2575896
