Year,Location,Vehicle_Type,Count
2012,AURORA BLVD.,Tricycle,608
2012,QUEZON AVE.,Tricycle,81
2012,COMMONWEALTH AVE.,Tricycle,417
2012,A. BONIFACIO,Tricycle,959
2012,RIZAL AVE.,Tricycle,2487
2012,MARCOS HIGHWAY,Tricycle,394
2012,MCARTHUR HIGHWAY,Tricycle,119
2012,TOTAL,Tricycle,16931
2012,RECTO,Total,47782
2012,MENDOZA,Total,59674
2012,PRES. QUIRINO AVE.,Total,138825
2012,ARANETA AVE.,Total,73090
2012,EDSA (BUENDIA AVE.),Total,326504
2012,KATIPUNAN / C.P. GARCIA,Total,157987
2012,ROXAS BLVD.,Total,150242
2012,TAFT AVE.,Total,42276
2012,SSH,Total,122460
2012,SHAW BLVD.,Total,87217
2012,ORTIGAS AVE.,Total,102446
2012,MAGSAYSAY BLVD.,Total,86058
2012,AURORA BLVD.,Total,124770
2012,QUEZON AVE.,Total,143680
2012,COMMONWEALTH AVE.,Total,197809
2012,A. BONIFACIO,Total,88852
2012,RIZAL AVE.,Total,61978
2012,MARCOS HIGHWAY,Total,132924
2012,MCARTHUR HIGHWAY,Total,72374
2012,TOTAL,Total,2216948
2013,RECTO,Car,29237
2013,MENDOZA,Car,54759
2013,PRES. QUIRINO,Car,94475
2013,ARANETA AVE.,Car,74498
2013,EDSA (BUENDIA AVE.),Car,272965
2013,KATIPUNAN,Car,133929
2013,ROXAS BLVD.,Car,117255
2013,TAFT AVE.,Car,51640
2013,SSH,Car,97771
2013,SHAW BLVD.,Car,56753
2013,ORTIGAS AVE.,Car,66856
2013,MAGSAYSAY BLVD.,Car,53279
2013,AURORA BLVD.,Car,75264
2013,QUEZON AVE.,Car,131076
2013,COMMONWEALTH AVE.,Car,167583
2013,A. BONIFACIO,Car,46390
2013,RIZAL AVE.,Car,32226
2013,DEL PAN,Car,31887
2013,MARCOS HWY.,Car,117772
2013,MCARTHUR HWY.,Car,33565
2013,TOTAL,Car,1739180
2013,RECTO,PUJ,17747
2013,MENDOZA,PUJ,2938
2013,PRES. QUIRINO,PUJ,4668
2013,ARANETA AVE.,PUJ,1572
2013,EDSA (BUENDIA AVE.),PUJ,3032
2013,KATIPUNAN,PUJ,2268
2013,ROXAS BLVD.,PUJ,87
2013,TAFT AVE.,PUJ,14176
2013,SSH,PUJ,61
2013,SHAW BLVD.,PUJ,11346
2013,ORTIGAS AVE.,PUJ,11843
2013,MAGSAYSAY BLVD.,PUJ,17310
2013,AURORA BLVD.,PUJ,20340
2013,QUEZON AVE.,PUJ,15404
2013,COMMONWEALTH AVE.,PUJ,19076
2013,A. BONIFACIO,PUJ,7206
2013,RIZAL AVE.,PUJ,14099
2013,DEL PAN,PUJ,24
2013,MARCOS HWY.,PUJ,19259
2013,MCARTHUR HWY.,PUJ,10765
2013,TOTAL,PUJ,193221
2013,RECTO,PUB,1073
2013,MENDOZA,PUB,366
2013,PRES. QUIRINO,PUB,210
2013,ARANETA AVE.,PUB,26
2013,EDSA (BUENDIA AVE.),PUB,14919
2013,KATIPUNAN,PUB,35
2013,ROXAS BLVD.,PUB,1037
2013,TAFT AVE.,PUB,1281
2013,SSH,PUB,1492
2013,SHAW BLVD.,PUB,56
2013,ORTIGAS AVE.,PUB,837
2013,MAGSAYSAY BLVD.,PUB,974
2013,AURORA BLVD.,PUB,127
2013,QUEZON AVE.,PUB,1789
2013,COMMONWEALTH AVE.,PUB,7525
2013,A. BONIFACIO,PUB,1902
2013,RIZAL AVE.,PUB,490
2013,DEL PAN,PUB,24
2013,MARCOS HWY.,PUB,215
2013,MCARTHUR HWY.,PUB,2173
2013,TOTAL,PUB,36551
2013,RECTO,Truck,939
2013,MENDOZA,Truck,5093
2013,PRES. QUIRINO,Truck,6729
2013,ARANETA AVE.,Truck,6297
2013,EDSA (BUENDIA AVE.),Truck,4491
2013,KATIPUNAN,Truck,7142
2013,ROXAS BLVD.,Truck,459
2013,TAFT AVE.,Truck,435
2013,SSH,Truck,7323
2013,SHAW BLVD.,Truck,1458
2013,ORTIGAS AVE.,Truck,4336
2013,MAGSAYSAY BLVD.,Truck,2118
2013,AURORA BLVD.,Truck,4255
2013,QUEZON AVE.,Truck,5326
2013,COMMONWEALTH AVE.,Truck,6084
