Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO, 21909, 10115, 2109, 2324, 719, 762, 28, 25439, 2722, 66127
MENDOZA, 50045, 59, 295, 3870, 235, 5592, 877, 28978, 1328, 91279
PRES. QUIRINO AVE., 63263, 1329, 391, 3425, 48, 7591, 1442, 38103, 1175, 116767
ARANETA AVE., 42708, 2172, 2, 3672, 30, 3718, 697, 36526, 2908, 92433
EDSA, 255732, 2166, 6285, 18913, 11313, 1297, 0, 110167, 9, 405882
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA, 124426, 967, 5421, 4533, 541, 10175, 960, 88996, 41, 236060
ROXAS BLVD., 121467, 265, 6885, 13511, 1530, 975, 3079, 55657, 213, 203582
TAFT AVE., 39103, 10491, 9458, 4584, 3382, 729, 1, 30948, 1369, 100065
SSH, 72648, 244, 570, 5728, 763, 7603, 2716, 40082, 80, 130434
SHAW BLVD., 50205, 5508, 3180, 3399, 99, 1362, 91, 41082, 20, 104946
ORTIGAS AVE., 70603, 11167, 8351, 2790, 1790, 3986, 418, 81171, 461, 180737
MAGSAYSAY BLVD., 56398, 6522, 108, 5444, 941, 4340, 938, 43178, 1951, 119820
AURORA BLVD., 39342, 13873, 6476, 6717, 463, 1801, 19, 51539, 155, 120385
QUEZON AVE., 123395, 12212, 7879, 15371, 1223, 5278, 403, 63892, 446, 230099
COMMONWEALTH AVE., 151705, 19985, 11034, 17245, 4235, 6336, 470, 105654, 807, 317477
A. BONIFACIO, 38149, 3338, 197, 847, 1452, 8551, 2396, 18028, 328, 73286
RIZAL AVE., 35836, 10263, 76, 2602, 474, 3357, 56, 41086, 1291, 95041
DEL PAN, 27652, 1309, 163, 2391, 48, 4791, 6173, 39519, 2233, 84279
MARCOS HIGHWAY, 106031, 14727, 3272, 8380, 257, 6199, 441, 81732, 321, 221360
MCARTHUR HIGHWAY, 36050, 8705, 16, 3974, 2077, 2533, 348, 44030, 194, 97927
TOTAL, 1526667, 135417, 72168, 129720, 31620, 86976, 21553, 1065087, 18052, 3087980
