Location,Car,PUJ,UV,Taxi,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO, 28622, 4762, 5, 5395, 814, 655, 0, 51636, 2733, 94622
MENDOZA, 36698, 544, 44, 2152, 251, 3115, 885, 24296, 2490, 70475
PRES. QUIRINO AVE., 30541, 176, 101, 2636, 403, 1967, 759, 17680, 1195, 55468
ARANETA AVE., 35696, 762, 23, 3867, 21, 3546, 661, 38154, 2237, 84967
EDSA, 193788, 225, 1423, 19316, 3645, 2136, 68, 107509, 4, 328104
C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA, 100846, 316, 436, 6941, 347, 10996, 725, 71797, 14, 192418
ROXAS BLVD., 105863, 105, 1053, 7689, 851, 1158, 2501, 70184, 142, 190626
TAFT AVE., 38695, 13043, 12625, 5888, 3881, 653, 0, 34297, 1833, 110916
SSH, 69900, 0, 45, 5842, 175, 6543, 2878, 54744, 88, 142175
SHAW BLVD., 46235, 737, 51, 6217, 732, 1790, 41, 47331, 475, 103609
ORTIGAS AVE., 80679, 2425, 2611, 4149, 3796, 4730, 614, 73070, 416, 172490
MAGSAYSAY BLVD., 48380, 10, 11, 6888, 825, 2755, 349, 50399, 1943, 111540
AURORA BLVD., 40912, 12027, 6726, 5712, 508, 2001, 14, 45195, 101, 113196
QUEZON AVE., 126286, 6676, 12049, 14828, 1428, 4311, 203, 71923, 55, 237759
COMMONWEALTH AVE., 148343, 168, 295, 13643, 7688, 4169, 865, 105325, 282, 282873
A. BONIFACIO, 41356, 1600, 295, 1839, 475, 6898, 1414, 25152, 923, 81001
RIZAL AVE., 30980, 9986, 101, 2204, 449, 2938, 109, 40721, 956, 87544
DEL PAN, 45911, 688, 28, 2304, 254, 6281, 7342, 42621, 2166, 107595
MARCOS HIGHWAY, 102714, 12666, 3313, 7762, 454, 5125, 225, 90421, 453, 223133
MCARTHUR HIGHWAY, 33129, 8300, 41, 3720, 2244, 9323, 183, 59340, 190, 111470
TOTAL, 1384674, 75726, 41064, 130052, 28968, 82372, 19247, 1121225, 18506, 2901384
