Location,Car,PUJ,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,30216,15736,643,789,16,19220,3906,70506
MENDOZA,63469,72,193,4007,506,22611,984,91842
PRES. QUIRINO,76073,5019,173,6421,3070,28641,827,119824
ARANETA AVE.,54670,2228,21,4393,528,25111,2769,89720
EDSA (BUENDIA AVE),284436,2944,14384,5451,8,60432,20,367675
KATIPUNAN / C.P. GARCIA,134939,985,692,10458,922,46149,4,194119
ROXAS BLVD.,138070,103,276,831,50,33827,38,173195
TAFT AVE.,56378,15885,2992,650,15,14683,582,91185
SSH,86652,3,778,7184,3921,28095,33,126667
SHAW BLVD.,58604,10262,74,1603,164,24525,4,95236
ORTIGAS AVE.,73299,8706,914,5039,428,32044,9,121433
MAGSAYSAY BLVD.,56971,13220,729,2228,429,25129,1107,99813
AURORA BLVD.,55976,16592,73,2168,30,18168,697,93706
QUEZON AVE.,136358,8429,1400,4337,329,35147,121,186321
COMMONWEALTH AVE.,169329,17113,5877,6307,256,59423,890,259195
A. BONIFACIO,25880,4533,1524,8736,2867,14498,1859,57897
RIZAL AVE.,29017,13205,298,1948,7,23341,2579,70395
DEL PAN,NO DATA AVAILABLE,,,,,,,0
MARCOS HWY.,112020,17171,95,6394,548,36609,178,173015
MCARTHUR HWY.,36702,10012,2617,4031,541,27734,533,82170
TOTAL,1678955,163219,33724,80955,14635,575487,16840,2563814
