Location,Car,PUJ,PUB,Truck,Trailer,MC,Tricycle,Total
RECTO,20926,15845,872,702,250,7359,1828,47782
MENDOZA,40034,1514,319,5253,1237,10992,325,59674
PRES. QUIRINO AVE.,99264,5019,500,7788,2556,23336,362,138825
ARANETA AVE.,51390,1432,55,4401,411,14730,671,73090
EDSA (BUENDIA AVE.),264067,3292,15214,5023,43,38859,6,326504
KATIPUNAN / C.P. GARCIA,122403,2274,52,7289,554,17510,7905,157987
ROXAS BLVD.,123505,300,2856,363,37,23168,13,150242
TAFT AVE.,27273,6344,2878,223,13,5151,394,42276
SSH,92053,20,1040,7703,3413,18186,45,122460
SHAW BLVD.,58292,11637,56,1493,200,15539,0,87217
ORTIGAS AVE.,73479,7982,1077,1858,212,17838,0,102446
MAGSAYSAY BLVD.,60568,6974,1377,2269,289,14264,317,86058
AURORA BLVD.,78434,19215,173,4124,326,21890,608,124770
QUEZON AVE.,106611,1558,2074,3110,389,19826,81,143680
COMMONWEALTH AVE.,144758,13173,6690,5666,0,27105,417,197809
A. BONIFACIO,51790,9414,2485,9509,2495,12200,959,88852
RIZAL AVE.,28956,14606,479,1810,6,13634,2487,61978
MARCOS HIGHWAY,89053,12743,105,7030,749,22850,394,132924
MCARTHUR HIGHWAY,35330,11087,2485,4236,435,18682,119,72374
TOTAL,1568186,154460,40787,79850,13615,343119,16931,2216948

